Piece,N,Label SD,Beat pos,SD pos,SD,Clave_?,Section,Virtual SD,Tactus,Tempo,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens
Song_2,7,01:01,1,1,1,Y,Son,5.037333333,0.890916667,67.3463661,,,,,,,,,,,,
Song_2,7,01:02,1,2,2,N,Son,5.2600625,0.890916667,67.3463661,,,5.281932,,,,,,,,,
Song_2,7,01:03,1,3,3,N,Son,5.482791666,0.890916667,67.3463661,,,5.480643,,5.477695,,,,,,2,
Song_2,7,01:04,1,4,4,Y,Son,5.705520833,0.890916667,67.3463661,,5.714555,5.707537,5.730943,5.718635,,,,,,2,
Song_2,7,01:05,2,1,5,N,Son,5.92825,0.890916667,67.3463661,,5.927078,5.939071,5.917083,5.926234,,,,,,2.5,
Song_2,7,01:06,2,2,6,N,Son,6.150979166,0.890916667,67.3463661,,,6.153243,6.144901,6.155149,,,,,,2.5,
Song_2,7,01:07,2,3,7,Y,Son,6.373708333,0.890916667,67.3463661,,6.348096,6.354059,,6.354287,,,,,,3,
Song_2,7,01:08,2,4,8,N,Son,6.5964375,0.890916667,67.3463661,,,6.605737,6.587124,6.591264,,,,3.5,2,3,
Song_2,7,01:09,3,1,9,N,Son,6.819166667,0.890916667,67.3463661,,,6.839689,,,,,,4,,,
Song_2,7,01:10,3,2,10,N,Son,7.041895833,0.890916667,67.3463661,,,7.030598,7.019113,7.049004,,,,4.5,2.5,3.5,
Song_2,7,01:11,3,3,11,Y,Son,7.264625,0.890916667,67.3463661,7.28634,,7.247185,,7.266582,,,,5,,4,
Song_2,7,01:12,3,4,12,N,Son,7.487354167,0.890916667,67.3463661,,,7.486118,7.509693,7.474943,,,,4.5,3,4,
Song_2,7,01:13,4,1,13,Y,Son,7.710083333,0.890916667,67.3463661,7.72558,7.688646,7.711805,7.724421,,,,3.5,4.5,3.5,,
Song_2,7,01:14,4,2,14,N,Son,7.9328125,0.8883125,67.54379793,,,7.93741,7.958183,7.937723,,,,5,3,3.5,
Song_2,7,01:15,4,3,15,N,Son,8.155541667,0.885708333,67.74239074,,8.144071,8.131612,,,,,2.5,5,,,
Song_2,7,01:16,4,4,16,N,Son,8.378270833,0.883104167,67.9421548,,,,,8.372463,,,,,,,
Song_2,7,02:01,1,1,1,Y,Son,8.601,0.8805,68.14310051,8.607607,,8.599172,8.571167,,,1.5,,4.5,3,,
Song_2,7,02:02,1,2,2,N,Son,8.821125,0.8805,68.14310051,,,8.803476,,8.795311,,,,4.5,3.5,3,
