Session,Inst,Tala,Label,Matra,Half cycle,Vibhag,Beat pos,Half beat,Cadence,Tabla solo,Virtual beat,Tactus,Tempo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player 
DebBh,Guitar,Drut teental,01:01,1,1,1,1,,,,1438.553333,0.573333333,104.6511628,,1438.535351,,2,,0.369797,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:02,2,1,1,2,,,,1438.696667,0.573333333,104.6511628,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:03,3,1,1,3,,,,1438.84,0.573333333,104.6511628,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:04,4,1,1,4,,,,1438.983333,0.573333333,104.6511628,1439.01094,,5,,0.144985,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:05,5,1,2,1,,,,1439.126667,0.573333333,104.6511628,1439.101037,,5.5,,0.244206,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:06,6,1,2,2,,,,1439.27,0.573333333,104.6511628,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:07,7,1,2,3,,,,1439.413333,0.573333333,104.6511628,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:08,8,1,2,4,,,,1439.556667,0.573333333,104.6511628,1439.578287,1439.605162,5.5,3,0.148966,0.174219,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:09,9,2,3,1,,,,1439.7,0.573333333,104.6511628,1439.723842,1439.727284,6,3.5,0.148327,0.211515,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:10,10,2,3,2,,,,1439.843333,0.573333333,104.6511628,,1439.878015,,3.5,,0.198355,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:11,11,2,3,3,,,,1439.986667,0.573333333,104.6511628,,1440.00087,,4,,0.171682,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:12,12,2,3,4,,,,1440.13,0.573333333,104.6511628,1440.16209,1440.137116,5.5,4,0.10251,0.187782,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:13,13,2,4,1,,,,1440.273333,0.573333333,104.6511628,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:14,14,2,4,2,,,,1440.416667,0.57125,105.0328228,1440.42615,1440.433355,4.5,4,0.168875,0.220014,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:15,15,2,4,3,,,,1440.56,0.569166667,105.4172767,1440.586031,,4,,0.125957,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,01:16,16,2,4,4,,,,1440.703333,0.567083333,105.8045555,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,02:01,1,1,1,1,,,,1440.846667,0.565,106.1946903,1440.851648,1440.840667,4.5,4.5,0.332927,0.319591,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,02:02,2,1,1,2,,,,1440.987917,0.565,106.1946903,,1441.018943,,5,,0.173445,Debashish Bhattacharya,Gurdain Rayatt
DebBh,Guitar,Drut teental,02:03,3,1,1,3,,,,1441.129167,0.565,106.1946903,,,,,,,Debashish Bhattacharya,Gurdain Rayatt
